"Resource","Total.Capacity","Current.Census","Available","Current.Utilization","Available.Capacity","Date"
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-29 01:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-29 01:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-29 01:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-29 07:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-29 07:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-29 07:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-29 12:12:01
"ICU Beds",317,288,29,90.9,9.1,2021-05-29 12:12:01
"Ventilators",258,79,179,30.6,69.4,2021-05-29 12:12:01
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-29 13:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-29 13:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-29 13:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-29 18:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-29 18:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-29 18:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-29 19:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-29 19:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-29 19:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-30 00:12:01
"ICU Beds",317,288,29,90.9,9.1,2021-05-30 00:12:01
"Ventilators",258,79,179,30.6,69.4,2021-05-30 00:12:01
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-30 01:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-30 01:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-30 01:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-30 06:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-30 06:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-30 06:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-30 07:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-30 07:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-30 07:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-30 12:12:01
"ICU Beds",317,288,29,90.9,9.1,2021-05-30 12:12:01
"Ventilators",258,79,179,30.6,69.4,2021-05-30 12:12:01
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-30 13:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-30 13:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-30 13:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-30 18:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-30 18:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-30 18:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-30 19:12:01
"ICU Beds",317,288,29,90.9,9.1,2021-05-30 19:12:01
"Ventilators",258,79,179,30.6,69.4,2021-05-30 19:12:01
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-31 00:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-31 00:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-31 00:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-31 01:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-31 01:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-31 01:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-31 06:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-31 06:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-31 06:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-31 07:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-31 07:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-31 07:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-31 12:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-31 12:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-31 12:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-31 13:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-05-31 13:12:00
"Ventilators",258,79,179,30.6,69.4,2021-05-31 13:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-05-31 19:12:01
"ICU Beds",317,288,29,90.9,9.1,2021-05-31 19:12:01
"Ventilators",258,79,179,30.6,69.4,2021-05-31 19:12:01
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-01 01:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-01 01:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-01 01:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-01 07:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-01 07:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-01 07:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-01 12:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-01 12:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-01 12:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-01 13:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-01 13:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-01 13:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-01 18:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-01 18:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-01 18:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-01 19:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-01 19:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-01 19:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-02 00:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-02 00:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-02 00:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-02 01:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-02 01:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-02 01:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-02 07:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-02 07:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-02 07:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-02 12:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-02 12:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-02 12:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-02 13:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-02 13:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-02 13:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-02 19:12:01
"ICU Beds",317,288,29,90.9,9.1,2021-06-02 19:12:01
"Ventilators",258,79,179,30.6,69.4,2021-06-02 19:12:01
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-03 00:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-03 00:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-03 00:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-03 01:12:01
"ICU Beds",317,288,29,90.9,9.1,2021-06-03 01:12:01
"Ventilators",258,79,179,30.6,69.4,2021-06-03 01:12:01
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-03 07:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-03 07:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-03 07:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-03 13:12:01
"ICU Beds",317,288,29,90.9,9.1,2021-06-03 13:12:01
"Ventilators",258,79,179,30.6,69.4,2021-06-03 13:12:01
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-03 18:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-03 18:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-03 18:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-03 19:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-03 19:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-03 19:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-04 01:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-04 01:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-04 01:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-04 07:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-04 07:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-04 07:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-04 13:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-04 13:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-04 13:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-04 19:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-04 19:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-04 19:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-05 01:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-05 01:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-05 01:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-05 07:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-05 07:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-05 07:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-05 12:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-05 12:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-05 12:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-05 13:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-05 13:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-05 13:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-05 19:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-05 19:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-05 19:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-06 01:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-06 01:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-06 01:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-06 07:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-06 07:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-06 07:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-06 12:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-06 12:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-06 12:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-06 13:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-06 13:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-06 13:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-06 18:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-06 18:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-06 18:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-06 19:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-06 19:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-06 19:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-07 01:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-07 01:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-07 01:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-07 07:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-07 07:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-07 07:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-07 13:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-07 13:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-07 13:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-07 18:12:01
"ICU Beds",317,288,29,90.9,9.1,2021-06-07 18:12:01
"Ventilators",258,79,179,30.6,69.4,2021-06-07 18:12:01
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-07 19:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-07 19:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-07 19:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-08 01:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-08 01:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-08 01:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-08 07:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-08 07:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-08 07:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-08 13:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-08 13:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-08 13:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-08 19:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-08 19:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-08 19:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-09 01:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-09 01:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-09 01:12:00
"All Hospital Beds",3079,2523,556,81.9,18.1,2021-06-09 07:12:00
"ICU Beds",317,288,29,90.9,9.1,2021-06-09 07:12:00
"Ventilators",258,79,179,30.6,69.4,2021-06-09 07:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-09 13:12:00
"ICU Beds",317,301,16,95,5,2021-06-09 13:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-09 13:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-09 19:12:00
"ICU Beds",317,301,16,95,5,2021-06-09 19:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-09 19:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-10 01:12:00
"ICU Beds",317,301,16,95,5,2021-06-10 01:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-10 01:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-10 07:12:00
"ICU Beds",317,301,16,95,5,2021-06-10 07:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-10 07:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-10 13:12:00
"ICU Beds",317,301,16,95,5,2021-06-10 13:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-10 13:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-10 18:12:00
"ICU Beds",317,301,16,95,5,2021-06-10 18:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-10 18:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-10 19:12:00
"ICU Beds",317,301,16,95,5,2021-06-10 19:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-10 19:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-11 01:12:00
"ICU Beds",317,301,16,95,5,2021-06-11 01:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-11 01:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-11 07:12:00
"ICU Beds",317,301,16,95,5,2021-06-11 07:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-11 07:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-11 13:12:00
"ICU Beds",317,301,16,95,5,2021-06-11 13:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-11 13:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-11 18:12:00
"ICU Beds",317,301,16,95,5,2021-06-11 18:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-11 18:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-11 19:12:00
"ICU Beds",317,301,16,95,5,2021-06-11 19:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-11 19:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-12 01:12:00
"ICU Beds",317,301,16,95,5,2021-06-12 01:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-12 01:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-12 07:12:00
"ICU Beds",317,301,16,95,5,2021-06-12 07:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-12 07:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-12 13:12:00
"ICU Beds",317,301,16,95,5,2021-06-12 13:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-12 13:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-12 19:12:00
"ICU Beds",317,301,16,95,5,2021-06-12 19:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-12 19:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-13 01:12:00
"ICU Beds",317,301,16,95,5,2021-06-13 01:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-13 01:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-13 07:12:00
"ICU Beds",317,301,16,95,5,2021-06-13 07:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-13 07:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-13 13:12:00
"ICU Beds",317,301,16,95,5,2021-06-13 13:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-13 13:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-13 18:12:00
"ICU Beds",317,301,16,95,5,2021-06-13 18:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-13 18:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-13 19:12:00
"ICU Beds",317,301,16,95,5,2021-06-13 19:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-13 19:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-14 01:12:00
"ICU Beds",317,301,16,95,5,2021-06-14 01:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-14 01:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-14 07:12:00
"ICU Beds",317,301,16,95,5,2021-06-14 07:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-14 07:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-14 13:12:00
"ICU Beds",317,301,16,95,5,2021-06-14 13:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-14 13:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-14 18:12:26
"ICU Beds",317,301,16,95,5,2021-06-14 18:12:26
"Ventilators",258,87,171,33.7,66.3,2021-06-14 18:12:26
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-14 19:12:00
"ICU Beds",317,301,16,95,5,2021-06-14 19:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-14 19:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-15 01:12:00
"ICU Beds",317,301,16,95,5,2021-06-15 01:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-15 01:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-15 07:12:00
"ICU Beds",317,301,16,95,5,2021-06-15 07:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-15 07:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-15 12:12:00
"ICU Beds",317,301,16,95,5,2021-06-15 12:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-15 12:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-15 13:12:00
"ICU Beds",317,301,16,95,5,2021-06-15 13:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-15 13:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-15 18:12:00
"ICU Beds",317,301,16,95,5,2021-06-15 18:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-15 18:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-15 19:12:00
"ICU Beds",317,301,16,95,5,2021-06-15 19:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-15 19:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-16 01:12:01
"ICU Beds",317,301,16,95,5,2021-06-16 01:12:01
"Ventilators",258,87,171,33.7,66.3,2021-06-16 01:12:01
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-16 07:12:00
"ICU Beds",317,301,16,95,5,2021-06-16 07:12:00
"Ventilators",258,87,171,33.7,66.3,2021-06-16 07:12:00
"All Hospital Beds",3086,2635,451,85.4,14.6,2021-06-16 13:12:01
"ICU Beds",317,301,16,95,5,2021-06-16 13:12:01
"Ventilators",258,87,171,33.7,66.3,2021-06-16 13:12:01
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-16 19:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-16 19:12:00
"Ventilators",258,80,178,31,69,2021-06-16 19:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-17 01:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-17 01:12:00
"Ventilators",258,80,178,31,69,2021-06-17 01:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-17 07:12:01
"ICU Beds",317,290,27,91.5,8.5,2021-06-17 07:12:01
"Ventilators",258,80,178,31,69,2021-06-17 07:12:01
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-17 13:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-17 13:12:00
"Ventilators",258,80,178,31,69,2021-06-17 13:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-17 18:12:01
"ICU Beds",317,290,27,91.5,8.5,2021-06-17 18:12:01
"Ventilators",258,80,178,31,69,2021-06-17 18:12:01
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-17 19:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-17 19:12:00
"Ventilators",258,80,178,31,69,2021-06-17 19:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-18 01:12:01
"ICU Beds",317,290,27,91.5,8.5,2021-06-18 01:12:01
"Ventilators",258,80,178,31,69,2021-06-18 01:12:01
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-18 07:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-18 07:12:00
"Ventilators",258,80,178,31,69,2021-06-18 07:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-18 13:12:01
"ICU Beds",317,290,27,91.5,8.5,2021-06-18 13:12:01
"Ventilators",258,80,178,31,69,2021-06-18 13:12:01
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-18 19:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-18 19:12:00
"Ventilators",258,80,178,31,69,2021-06-18 19:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-19 01:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-19 01:12:00
"Ventilators",258,80,178,31,69,2021-06-19 01:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-19 07:12:01
"ICU Beds",317,290,27,91.5,8.5,2021-06-19 07:12:01
"Ventilators",258,80,178,31,69,2021-06-19 07:12:01
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-19 12:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-19 12:12:00
"Ventilators",258,80,178,31,69,2021-06-19 12:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-19 13:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-19 13:12:00
"Ventilators",258,80,178,31,69,2021-06-19 13:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-19 18:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-19 18:12:00
"Ventilators",258,80,178,31,69,2021-06-19 18:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-19 19:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-19 19:12:00
"Ventilators",258,80,178,31,69,2021-06-19 19:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-20 00:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-20 00:12:00
"Ventilators",258,80,178,31,69,2021-06-20 00:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-20 01:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-20 01:12:00
"Ventilators",258,80,178,31,69,2021-06-20 01:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-20 07:12:01
"ICU Beds",317,290,27,91.5,8.5,2021-06-20 07:12:01
"Ventilators",258,80,178,31,69,2021-06-20 07:12:01
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-20 12:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-20 12:12:00
"Ventilators",258,80,178,31,69,2021-06-20 12:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-20 13:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-20 13:12:00
"Ventilators",258,80,178,31,69,2021-06-20 13:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-20 18:15:13
"ICU Beds",317,290,27,91.5,8.5,2021-06-20 18:15:13
"Ventilators",258,80,178,31,69,2021-06-20 18:15:13
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-20 19:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-20 19:12:00
"Ventilators",258,80,178,31,69,2021-06-20 19:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-21 01:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-21 01:12:00
"Ventilators",258,80,178,31,69,2021-06-21 01:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-21 07:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-21 07:12:00
"Ventilators",258,80,178,31,69,2021-06-21 07:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-21 13:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-21 13:12:00
"Ventilators",258,80,178,31,69,2021-06-21 13:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-21 18:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-21 18:12:00
"Ventilators",258,80,178,31,69,2021-06-21 18:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-21 19:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-21 19:12:00
"Ventilators",258,80,178,31,69,2021-06-21 19:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-22 00:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-22 00:12:00
"Ventilators",258,80,178,31,69,2021-06-22 00:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-22 01:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-22 01:12:00
"Ventilators",258,80,178,31,69,2021-06-22 01:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-22 07:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-22 07:12:00
"Ventilators",258,80,178,31,69,2021-06-22 07:12:00
"All Hospital Beds",3086,2587,499,83.8,16.2,2021-06-22 13:12:00
"ICU Beds",317,290,27,91.5,8.5,2021-06-22 13:12:00
